Project,Coverage > -95dBm (%),Coverage > -100dBm (%),Num_Transmitters,Reward,Output_File
libya_tile_square_centroid_100_134,93.28671264648438,93.28671264648438,20,"tensor(0.6804, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_134\deployed_transmitters_20250903_060931.csv
libya_tile_square_centroid_100_431,93.44988250732422,93.44988250732422,14,"tensor(0.3076, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_431\deployed_transmitters_20250903_060932.csv
libya_tile_square_centroid_100_432,93.33333587646484,93.33333587646484,14,"tensor(0.4145, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_432\deployed_transmitters_20250903_060933.csv
libya_tile_square_centroid_100_433,91.66667175292969,91.66667175292969,14,"tensor(0.5117, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_433\deployed_transmitters_20250903_060933.csv
libya_tile_square_centroid_100_434,93.44988250732422,93.44988250732422,19,"tensor(0.6100, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_434\deployed_transmitters_20250903_060933.csv
libya_tile_square_centroid_100_435,93.61305236816406,93.61305236816406,20,"tensor(0.5310, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_435\deployed_transmitters_20250903_060933.csv
libya_tile_square_centroid_100_436,91.68962097167969,91.68962097167969,18,"tensor(0.5767, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_436\deployed_transmitters_20250903_060934.csv
libya_tile_square_centroid_100_437,93.31002044677734,93.31002044677734,19,"tensor(0.5792, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_437\deployed_transmitters_20250903_060934.csv
libya_tile_square_centroid_100_438,93.40325927734375,93.40325927734375,21,"tensor(0.5711, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_438\deployed_transmitters_20250903_060934.csv
libya_tile_square_centroid_100_439,93.37995147705078,93.37995147705078,13,"tensor(0.4306, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_439\deployed_transmitters_20250903_060934.csv
libya_tile_square_centroid_100_440,91.89623260498047,91.89623260498047,20,"tensor(0.5332, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_440\deployed_transmitters_20250903_060934.csv
libya_tile_square_centroid_100_458,91.8503189086914,91.8503189086914,21,"tensor(0.6775, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_458\deployed_transmitters_20250903_060935.csv
libya_tile_square_centroid_100_459,91.87327575683594,91.87327575683594,18,"tensor(0.5326, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_459\deployed_transmitters_20250903_060935.csv
libya_tile_square_centroid_100_460,93.40325927734375,93.40325927734375,18,"tensor(0.5216, device='cuda:0')",polygon_data\libya_tile_square_centroid_100_460\deployed_transmitters_20250903_060935.csv
