Transceiver Name,Cell Name,Longitude,Latitude,Frequency Band,Scenario,Antenna Type,Azimuth,Height,Mechanical Downtilt,Electrical Downtilt,Max Power(dBm)
PLACEHOLDER,PLACEHOLDER_1,12.31707386515677,32.70394568182046,1800,rural,1800MHz 65deg 17dBi 0Tilt,225.0,28.0,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_3,12.32773152412131,32.70417337309949,1800,rural,1800MHz 65deg 17dBi 0Tilt,35.0,32.66997146606445,0,6.283756256103516,15.2
PLACEHOLDER,PLACEHOLDER_6,12.343718237146254,32.70451321454889,1800,rural,1800MHz 65deg 17dBi 0Tilt,150.0,28.0,0,7.170476913452148,15.2
PLACEHOLDER,PLACEHOLDER_8,12.322537315411054,32.69955417684732,1800,rural,1800MHz 65deg 17dBi 0Tilt,345.0,28.0,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_9,12.327865892736524,32.69966788989746,1800,rural,1800MHz 65deg 17dBi 0Tilt,310.0,35.072669982910156,0,2.5856528282165527,15.2
PLACEHOLDER,PLACEHOLDER_10,12.333194500019415,32.69978137692531,1800,rural,1800MHz 65deg 17dBi 0Tilt,285.0,32.40934753417969,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_11,12.338523137200276,32.699894637926555,1800,rural,1800MHz 65deg 17dBi 0Tilt,270.0,30.703271865844727,0,6.175013542175293,15.2
PLACEHOLDER,PLACEHOLDER_15,12.328000231394316,32.69516240296298,1800,rural,1800MHz 65deg 17dBi 0Tilt,185.0,43.23246383666992,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_16,12.333328571562188,32.6952758704706,1800,rural,1800MHz 65deg 17dBi 0Tilt,240.0,28.0,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_18,12.343985341513996,32.695502127518175,1800,rural,1800MHz 65deg 17dBi 0Tilt,205.0,30.316078186035156,0,4.531125068664551,15.2
PLACEHOLDER,PLACEHOLDER_21,12.328134540100837,32.6906569122964,1800,rural,1800MHz 65deg 17dBi 0Tilt,100.0,28.0,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_25,12.317613296506318,32.68592388323916,1800,rural,1800MHz 65deg 17dBi 0Tilt,290.0,31.906417846679688,0,5.297857284545898,15.2
PLACEHOLDER,PLACEHOLDER_27,12.328268818862231,32.686151417898095,1800,urban,1800MHz 65deg 17dBi 0Tilt,55.0,28.15789794921875,0,7.529321193695068,15.2
PLACEHOLDER,PLACEHOLDER_28,12.333596624978364,32.686264846371,1800,urban,1800MHz 65deg 17dBi 0Tilt,10.0,38.22753143310547,0,2.641359329223633,15.2
PLACEHOLDER,PLACEHOLDER_29,12.338924460974065,32.686378048933776,1800,rural,1800MHz 65deg 17dBi 0Tilt,320.0,35.62596893310547,0,0.0,15.2
PLACEHOLDER,PLACEHOLDER_33,12.328403067684645,32.681645919768435,1800,rural,1800MHz 65deg 17dBi 0Tilt,255.0,28.0,0,0.0,15.2
